product_name,region,category,units_sold,revenue,date
Laptop,North,Electronics,150,225000,2025-01-15
Smartphone,South,Electronics,300,180000,2025-01-20
Tablet,East,Electronics,200,120000,2025-02-10
Headphones,West,Electronics,500,75000,2025-02-15
Monitor,North,Electronics,80,64000,2025-03-01
Keyboard,South,Electronics,400,32000,2025-03-10
Mouse,East,Electronics,600,30000,2025-03-15
Chair,North,Furniture,100,80000,2025-04-01
Desk,South,Furniture,75,67500,2025-04-10
Bookshelf,West,Furniture,50,45000,2025-04-20
Laptop,North,Electronics,180,270000,2025-05-01
Smartphone,South,Electronics,350,210000,2025-05-15
Tablet,East,Electronics,250,150000,2025-06-01
Headphones,West,Electronics,600,90000,2025-06-10
Monitor,North,Electronics,100,80000,2025-06-20
Keyboard,South,Electronics,450,36000,2025-07-01
Mouse,East,Electronics,700,35000,2025-07-15
Chair,North,Furniture,120,96000,2025-08-01
Desk,South,Furniture,90,81000,2025-08-10
Bookshelf,West,Furniture,60,54000,2025-08-20
Laptop,North,Electronics,200,300000,2025-09-01
Smartphone,South,Electronics,400,240000,2025-09-15
Tablet,East,Electronics,280,168000,2025-10-01
Headphones,West,Electronics,650,97500,2025-10-10
Monitor,North,Electronics,110,88000,2025-10-20
Keyboard,South,Electronics,500,40000,2025-11-01
Mouse,East,Electronics,750,37500,2025-11-15
Chair,North,Furniture,130,104000,2025-12-01
Desk,South,Furniture,95,85500,2025-12-10
Bookshelf,West,Furniture,70,63000,2025-12-20
